Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
355638,B002QWP8H0,A1UM2Y9A9TCJXU,Michael Sena,0,0,3,1343520000,"Just Okay, nothing else","Updates: One Day, One Week, Two Weeks, One Month, Three Months, Six Months<br /><br />One Day<br />-------<br />Ordered these yesterday and they came in today, even with Prime two-day shipping - Thanks Amazon!  I gave one to my dachshund, a short-haired 25-lb ball of energy, and he loved it.  He's 10 years old and had typical dog breath.  I'm hoping that giving these to him will not only make his breath less stinky, but also (and more importantly) help out with his teeth.  Whenever he yawns or opens his mouth wide, I can see some plaque on his rear teeth.  The vet hasn't said anything bad about that when I've brought it up, but he no longer rips on his rope toys like he used to.  Sure, some of his loss of love for tug of war can be attributed to age, but I think maybe his teeth are a bit weaker too.  I'll update this according to the schedule I laid out at the very top and let you know what happens.  I've also seen lots of reviews online (not about this product, but about dog- and pet-food in general) being made out of sub par or even unhealthy materials.  I'll let you know if my dog's behavior or overall health changes as well.<br /><br />One Week<br />-------<br />My dog is still loving these things.  I feed him in the morning so I like to think these are an evening snack for him.  I don't know what exactly the dental chews are made from, but I'm able to bend the little green toothbrush-shaped chews into a ""U"" and they don't seem to break.  Perhaps it's some kind of gel or gummy chew?  His breath seems a little less ""heavy"".  His teeth seem to be the same. His behavior hasn't changed either, other than being extremely excited to get a chew at night.  This last bit is important to me, because I know some dog treats can be more like dog-crack!<br />See you in a week!<br /><br />Eventually<br />--------<br />Sorry I didn't keep up to my schedule - I think these things work, though not as well as I'd hoped.  My dog still has lots of plaque and buildup on his rear teeth and more disturbingly these things have caused my dog to frequently urinate in my house.  I suspect they are making him drink a lot of water which he can't hold in.  I walk him three times a day and put him outside two to three more times so there's no issue on my end.<br />My ultimate conclusion is that these are just OK.  They aren't damaging to my dog's health... but to say they were helpful in improving his dental situation would be giving these too much credit.<br />My S&S shipments have been cancelled and I'm out looking for a better product."
21386,B002QWP89S,ARCLASA61DB6M,J. S. Thomas,0,0,5,1298851200,My Lab's favorite bedtime treat,"I should take a video of my dog drooling when I ask him if he wants a Greenie!  No other treat can compare as far as he's concerned -- and this is a dog who will eat just about anything.  He happily trots into his crate every night at bedtime because he knows that's when I'll give him this special treat.  Seriously, if he could skip, he would skip.  At a little over $1.40 per treat, Greenies are more expensive than I would typically pay, but I like how they freshen his breath, clean his teeth, & are generally healthy for him.  There may be other products out there that claim to have the same benefits, but none I've tried so far have that ""tail-wagging drool"" factor which, to be honest, makes me feel all warm and fuzzy at bedtime too :)"
23725,B0013NUGDE,A2WNWQQX8Q3JEG,Sanjay Srivastava,1,1,3,1269043200,Too salty...,"I love the taste of pop-chips but, I think it is a little too salty. The manufacturer for some reason decided that it looked,tasted too healthy and decided to add extra salt to appeal to a broad audience.<br />I think they woul've been better served keeping the salt content low.<br /><br />I would recommend the barbecue flavor which doesn't suffer from the same problem. the worst I think is the sour-cream (or something like that) flavor. This one is ok."
23749,B0013NUGDE,A38XFVFJS7RD5Q,Gator Girl,1,1,5,1224892800,Popchips,"I am doing Weight Watchers, but there are certain foods I did not want to give up.  One was potato chips.  I love the Popchips and they do taste like potato chips unlike other products I have tried.  One serving is 3 points on the WW point system and you can have 18-22 chips, depending on the flavor you choose.  Very good!"
24195,B0013NUGDE,A16UH2O4UVYOJZ,Hajnal's Secret Admirer in the Regenstein,1,5,2,1266969600,Dissappointing,"To quote another reviewer, I can't understand the high praises these chips have been receiving.<br /><br />Based on their popularity and high review score I ordered the 6-flavor variety pack off of Amazon. With some excitement I tore open the packaging and tried the various flavors. I was met with disappointment. Texture-wise, these chips are not crunchy at all and are unsatisfying. The flavors vary from terrible to passable. I couldn't finish the pack of what they call ""salt and vinegar"" chips.<br /><br />I suppose these chips might be popular with people who are trying to watch their weight.<br /><br />An anecdote: the day after I received these I gave the rest away to the other people in my dorm (who proceeded to affirm my suspicions that these chips were subpar). I then went to the corner shop across the street and bought some salt & vinegar Kettle chips."
329980,B002QWHJOU,A132ETQPMHQ585,"Donna's Reviews ""I Love Shopping on Amazon!""",0,2,2,1324166400,Our dogs liked them OK...but!~,"Our dogs liked them OK...but!~....Greenies Dental Chews for Dogs, Teenie Pack, 96 Chews....they are pricey and our two pooches love ....Veggi Dental Chews ...that's all we buy them now on Amazon of course!~"
563627,B007JFMH8M,APMYPD97EHUUZ,"John H. Gruver ""brainactiv""",0,0,1,1344211200,Way too much oat bran = chewy but dry cookies,"I tried one: gave it two bites (to be sure) and then into the trash. Not even close to appetizing. It's amazing, how can something be chewy and yet powdery dry and quite tasteless simultaneously? Quaker's R&D figured out the conundrum and produced these ""cookies"". I assume it's the oat bran since I had similar experiences with using it when it was THE thing to do (e.g., pancakes). However, what ever it is, it ain't good! I do not recommend these, not even to my sworn enemies!"
75189,B0026RQTGE,A3P380HI0LB0EF,ttaylor,8,14,1,1326585600,Worm found on Greenies Joint Care,"Just opened Greenies Joint Care (individually sealed) in December 2011 and found small worm crawling all over it.  Next one looked fine, but really supposed to trust these now?"
356063,B002QWP8H0,A1JI6R4EP20WGJ,Sea,1,3,1,1343606400,puppy didn't like,"Bought the big box to be economical..bad choice. My dog ate one reluctantly and then never ate another--and this was over months.  I gave them to a friend.  My friend who owns a dog store said that many dogs have digestive upset with these, so I'm not sad that my dog didn't like them."
21576,B002QWP89S,A1TZFCI1R9FOJM,"Lois Wilson ""dog lover""",2,2,4,1312934400,My dogs love these,I have five dogs and feed these daily to help keep their teeth clean.  My only complaint is that they are quite expensive to feed on a daily basis.  Wish there was a way to buy them in bulk.
